YEAR,MONTH,DAY,HOUR,Temperature at 2 meters (C),Specific Humidity at 2 meters (g/kg),Surface pressure (kPa),Wind speed at 10 meters (m/s),Wind direction at 10 meters (Degrees)
2021,12,2,0,22.26,15.81,100.61,1.82,23.26
2021,12,2,1,21.93,15.56,100.58,1.77,16.43
2021,12,2,2,21.65,15.32,100.53,1.71,12.13
2021,12,2,3,21.42,15.14,100.51,1.72,11
2021,12,2,4,21.18,14.95,100.53,1.58,8.81
2021,12,2,5,20.98,14.77,100.6,1.41,4.45
2021,12,2,6,21.19,14.71,100.65,1.36,355.07
2021,12,2,7,22.34,14.53,100.75,1.68,352.25
2021,12,2,8,23.89,14.77,100.8,1.59,15.95
2021,12,2,9,25.4,15.2,100.82,1.45,32.23
2021,12,2,10,26.57,15.75,100.75,1.5,39.5
2021,12,2,11,27.06,16.11,100.68,1.66,37.73
2021,12,2,12,27.33,16.36,100.63,1.7,24.68
2021,12,2,13,27.22,16.6,100.53,1.8,5.98
2021,12,2,14,26.87,16.85,100.51,1.93,344.95
2021,12,2,15,26.51,17.33,100.5,1.94,326.5
2021,12,2,16,26.13,17.27,100.54,1.95,321.84
2021,12,2,17,25.14,17.7,100.59,1.6,311.63
2021,12,2,18,24.35,17.15,100.65,1.64,311.13
2021,12,2,19,23.93,16.78,100.72,1.64,326.69
2021,12,2,20,23.62,16.66,100.75,1.61,349.94
2021,12,2,21,23.3,16.42,100.77,1.64,10.72
2021,12,2,22,23.01,16.11,100.75,1.64,27.3
2021,12,2,23,22.59,15.81,100.74,1.63,39.17
